Name;URL;Author;Price;Number of Ratings;Average Rating
Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10, Social Science (With the largest MCQ Questions Pool for 2021-22 Exam);https://www.amazon.in/Chapterwise-Science-largest-Questions-2021-22/dp/9354636071/ref=zg_bs_books_55/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Oswaal Editorial Board;₹143.00;89;4.3 out of 5 stars
CBSE New Pattern Social Science Class 10 for 2021-22 Exam (MCQs based book for Term 1);https://www.amazon.in/Pattern-Social-Science-Class-2021-22/dp/9325793180/ref=zg_bs_books_56/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹70.00;28;4.3 out of 5 stars
Great Stories for Children;https://www.amazon.in/Great-Stories-Children-Ruskin-Bond/dp/8129118920/ref=zg_bs_books_57/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Ruskin Bond;₹128.00;7,030;4.5 out of 5 stars
CBSE MCQ Bank Mathematics Class 10 Term 1;https://www.amazon.in/CBSE-Bank-Mathematics-Class-Term/dp/9384843601/ref=zg_bs_books_58/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹390.00;20;4.4 out of 5 stars
Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER , must-read book on spirituality and self-improvement by Sadhguru;https://www.amazon.in/Karma-PUBLISHERS-BESTSELLER-spirituality-self-improvement/dp/0143452673/ref=zg_bs_books_59/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Sadhguru;₹233.00;5,178;4.7 out of 5 stars
The Intelligent Investor (English) Paperback – 2013;https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685/ref=zg_bs_books_60/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Benjamin Graham;₹484.00;28,184;4.5 out of 5 stars
The Richest Man in Babylon;https://www.amazon.in/Richest-Man-Babylon-George-Clason/dp/9388144317/ref=zg_bs_books_61/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;George S. Clason;₹99.00;22,106;4.5 out of 5 stars
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids;https://www.amazon.in/Best-Childrens-Classics-Set-Books/dp/9389432006/ref=zg_bs_books_62/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹499.00;2,129;4.4 out of 5 stars
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry;https://www.amazon.in/How-Stop-Worrying-Start-Living/dp/8175993952/ref=zg_bs_books_63/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Dale Carnegie;₹99.00;14,689;4.4 out of 5 stars
Man's Search For Meaning: The classic tribute to hope from the Holocaust;https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_books_64/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Viktor E Frankl;₹191.00;35,081;4.5 out of 5 stars
