Name;URL;Author;Price;Number of Ratings;Average Rating;Type
Quanta Quantitative Aptitude by Aashish Arora (English Medium)(3662);https://www.amazon.in/Quanta-Quantitative-Aptitude-Aashish-English/dp/9394106928/ref=zg_bs_books_23/257-3061504-2889532?pd_rd_i=9394106928&psc=1;not_available;₹378.00;3;5.0 out of 5 stars;Paperback
Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10);https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=zg_bs_books_24/257-3061504-2889532?pd_rd_i=9387779777&psc=1;Wonder House Books;₹159.00;8,656;4.3 out of 5 stars;Paperback
Mindset: Changing The Way You think To Fulfil Your Potential;https://www.amazon.in/Mindset-Changing-think-Fulfil-Potential/dp/1780332009/ref=zg_bs_books_25/257-3061504-2889532?pd_rd_i=1780332009&psc=1;not_available;₹296.00;1,480;4.5 out of 5 stars;Paperback
Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination 2022-2023;https://www.amazon.in/Secondary-School-Mathematics-Examination-2020-2021/dp/9388704517/ref=zg_bs_books_26/257-3061504-2889532?pd_rd_i=9388704517&psc=1;R.S. Aggarwal;₹439.00;897;4.5 out of 5 stars;Paperback
The Complete Novels of Sherlock Holmes;https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_books_27/257-3061504-2889532?pd_rd_i=8175994312&psc=1;Arthur Conan Doyle;₹139.00;12,903;4.5 out of 5 stars;Paperback
Mathematics for Class 8 - CBSE - by R.D. Sharma Examination 2022-2023;https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/818992804X/ref=zg_bs_books_28/257-3061504-2889532?pd_rd_i=818992804X&psc=1;R.D. Sharma;₹432.00;3,035;4.6 out of 5 stars;Paperback
MTG 34 Years NEET Previous Year Solved Question Papers with NEET Chapterwise Topicwise Solutions - NEET 2022 Preparation Books, Set of 3 Books NTA Neet 34 Years Questions, Physics Chemistry Biology;https://www.amazon.in/Previous-Question-Chapterwise-Topicwise-Solutions/dp/B09HTLGSQF/ref=zg_bs_books_29/257-3061504-2889532?pd_rd_i=B09HTLGSQF&psc=1;not_available;₹680.00;603;4.4 out of 5 stars;Product Bundle
Treasure Island;https://www.amazon.in/Treasure-Island-Robert-Louis-Stevenson/dp/8172344767/ref=zg_bs_books_30/257-3061504-2889532?pd_rd_i=8172344767&psc=1;Robert Louis Stevenson;₹99.00;8,722;4.3 out of 5 stars;Paperback
Dr. Omendra Ratnu;https://www.amazon.in/MAHARANA-%E0%A4%B8%E0%A4%B9%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0-%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A5%8B-%E0%A4%95%E0%A4%BE-%E0%A4%A7%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%AF%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7/dp/9355213735/ref=zg_bs_books_1/257-4516497-4787268?pd_rd_i=9355213735&psc=1;not_available;₹309.00;Dr. Omendra Ratnu;not_available;Paperback
Oswaal CBSE Question Bank Chapterwise For Term 2, Class 12, Chemistry (For 2022 Exam);https://www.amazon.in/Oswaal-Question-Chapterwise-Class-Chemistry/dp/9354637396/ref=zg_bs_books_2/257-4516497-4787268?pd_rd_i=9354637396&psc=1;Oswaal Editorial Board;₹285.00;95;4.4 out of 5 stars;Paperback
My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers;https://www.amazon.in/My-First-ABC-Sticker-Book/dp/9388144937/ref=zg_bs_books_3/257-4516497-4787268?pd_rd_i=9388144937&psc=1;Wonder House Books;₹139.00;1,580;4.4 out of 5 stars;Paperback
Educart Term 2 Class 10 Sample Papers Bundle of Science, Math Standard, Social Science & English Books For 2022 (Based on the CBSE Term-2 Subjective Sample Paper released on 14 Jan 2022) Edubook;https://www.amazon.in/Educart-Science-Standard-Subjective-released/dp/B09R1TPZW2/ref=zg_bs_books_4/257-4516497-4787268?pd_rd_i=B09R1TPZW2&psc=1;not_available;₹496.00;554;4.4 out of 5 stars;Product Bundle
Good Vibes, Good Life: How Self-love Is the Key to Unlocking Your Greatness;https://www.amazon.in/Good-Vibes-Life-Self-love-Unlocking/dp/9386832836/ref=zg_bs_books_5/257-4516497-4787268?pd_rd_i=9386832836&psc=1;Vex King;₹197.00;22,214;4.6 out of 5 stars;Paperback
101 Brain Booster Activity Book: Fun Activity Book For Children;https://www.amazon.in/101-Brain-Booster-Activity-Book/dp/9388369793/ref=zg_bs_books_6/257-4516497-4787268?pd_rd_i=9388369793&psc=1;Wonder House Books;₹139.00;4,109;4.4 out of 5 stars;Paperback
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth;https://www.amazon.in/Mahatma-Gandhi-Autobiography-Story-Experiments/dp/8172343116/ref=zg_bs_books_7/257-4516497-4787268?pd_rd_i=8172343116&psc=1;not_available;₹109.00;6,648;4.5 out of 5 stars;Paperback
My First 4 in 1 Alphabet Numbers Colours Shapes: Padded Board Books;https://www.amazon.in/First-Alphabet-Numbers-Colours-Shapes/dp/9387779564/ref=zg_bs_books_8/257-4516497-4787268?pd_rd_i=9387779564&psc=1;Wonder House Books;₹159.00;3,040;4.3 out of 5 stars;Board book
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi);https://www.amazon.in/Avchetan-Shakti-Power-Subconscious-Hindi/dp/8175993669/ref=zg_bs_books_9/257-4516497-4787268?pd_rd_i=8175993669&psc=1;Joseph Murphy;₹99.00;9,403;4.4 out of 5 stars;Paperback
Pride & Prejudice;https://www.amazon.in/Pride-Prejudice-Jane-Austen/dp/8172344503/ref=zg_bs_books_10/257-4516497-4787268?pd_rd_i=8172344503&psc=1;Jane Austen;₹109.00;27,057;4.5 out of 5 stars;Paperback
Oswaal Term 2 Mathematics CBSE Class 12 Sample Question Paper Book (For Term-2 2022 Exam) Oswaal Books;https://www.amazon.in/Oswaal-Mathematics-Sample-Question-Term-2/dp/935463818X/ref=zg_bs_books_11/257-4516497-4787268?pd_rd_i=935463818X&psc=1;Oswaal Editorial Board;₹125.00;51;4.6 out of 5 stars;Paperback
Harry Potter and the Philosopher's Stone;https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658/ref=zg_bs_books_12/257-4516497-4787268?pd_rd_i=1408855658&psc=1;J.K. Rowling;₹351.00;38,643;4.7 out of 5 stars;Paperback
not_available;https://www.amazon.in/Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/B09P66SGQN/ref=zg_bs_books_13/257-4516497-4787268?pd_rd_i=B09P66SGQN&psc=1;not_available;₹349.00;267;4.5 out of 5 stars;Unknown Binding
Tuesdays With Morrie: An old man, a young man, and life's greatest lesson;https://www.amazon.in/Tuesdays-Morrie-young-greatest-lesson/dp/0751527378/ref=zg_bs_books_14/257-4516497-4787268?pd_rd_i=0751527378&psc=1;Mitch Albom;₹244.00;13,859;4.6 out of 5 stars;Paperback
Oswal - Gurukul 36 Sample Question Papers Commerce CBSE Class 12 Term II Exam 2022 : Solved New SQP Pattern (Accountancy, Business Studies, Economics, Mathematics, English, Physical Education);https://www.amazon.in/Oswal-Accountancy-Economics-Mathematics-Education/dp/9392563663/ref=zg_bs_books_15/257-4516497-4787268?pd_rd_i=9392563663&psc=1;Oswal - Gurukul;₹425.00;43;4.3 out of 5 stars;Paperback
Men Without Women: Stories;https://www.amazon.in/Men-Without-Women-Haruki-Murakami/dp/1784705373/ref=zg_bs_books_16/257-4516497-4787268?pd_rd_i=1784705373&psc=1;Haruki Murakami;₹169.00;2,527;4.3 out of 5 stars;Paperback
Oswaal CBSE Question Bank Chapterwise For Term 2, Class 12, Physics (For 2022 Exam);https://www.amazon.in/Oswaal-Question-Chapterwise-Class-Physics/dp/9354637310/ref=zg_bs_books_17/257-4516497-4787268?pd_rd_i=9354637310&psc=1;Oswaal Editorial Board;₹236.00;99;4.4 out of 5 stars;Paperback
Oswaal CBSE Term 2 English Language & Literature Class 10 Sample Question Paper Book (For Term-2 2022 Exam);https://www.amazon.in/Oswaal-English-Language-Literature-Question/dp/9354638937/ref=zg_bs_books_18/257-4516497-4787268?pd_rd_i=9354638937&psc=1;Oswaal Editorial Board;₹107.00;72;4.5 out of 5 stars;Paperback
My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of the body and Objects Around Us.;https://www.amazon.in/First-1000-Words-Transport-Professions/dp/9388144112/ref=zg_bs_books_19/257-4516497-4787268?pd_rd_i=9388144112&psc=1;Wonder House Books;₹159.00;5,622;4.5 out of 5 stars;Paperback
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design);https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882/ref=zg_bs_books_20/257-4516497-4787268?pd_rd_i=9388369882&psc=1;Wonder House Books;₹769.00;9,491;4.6 out of 5 stars;Board book
101 Panchatantra Stories with Moral (New Edition);https://www.amazon.in/101-Panchatantra-Stories-Dreamland-Publications/dp/938797149X/ref=zg_bs_books_21/257-4516497-4787268?pd_rd_i=938797149X&psc=1;Dreamland Publications;₹120.00;7,548;4.4 out of 5 stars;Paperback
The Girl Who Drank the Moon;https://www.amazon.in/Girl-Who-Drank-Moon/dp/1848126476/ref=zg_bs_books_22/257-4516497-4787268?pd_rd_i=1848126476&psc=1;Kelly Barnhill;₹301.00;15,434;4.5 out of 5 stars;Paperback
Inner Engineering: A Yogi’s Guide to Joy - English;https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845/ref=zg_bs_books_23/257-4516497-4787268?pd_rd_i=0143428845&psc=1;Sadhguru;₹249.00;14,675;4.6 out of 5 stars;Paperback
